Spółka,Symbol,Liczba sesji,Cena początkowa,Cena końcowa,Stopa zwrotu całkowita,Stopa zwrotu roczna,Zmienność roczna,Sharpe bez stopy wolnej od ryzyka,Maksymalne obsunięcie
CD Projekt,CDR.WA,1615,279.5,227.8000030517578,-0.1849731554498829,-0.03141103168945658,0.457488284500685,-0.06865975097862763,-0.8309678787911701
PKO BP,PKO.WA,1615,34.459999084472656,98.29000091552734,1.8522926154056578,0.17767969530891836,0.36069080837155443,0.4926094349648277,-0.5688755091912383
KGHM,KGH.WA,1615,95.58000183105469,345.45001220703125,2.614249901539449,0.22200101623277235,0.44807934851134607,0.49545022989862464,-0.6236818584795751
Orlen,PKN.WA,1615,85.81999969482422,143.0,0.6662782627418768,0.0829311665205894,0.35193812411158276,0.23564132680975447,-0.5660073358348794
PGE,PGE.WA,1615,7.960000038146973,10.255000114440918,0.28831659111752717,0.04032159360361409,0.47940458505948813,0.08410765115775996,-0.6606581010574062
