,CD Projekt,PKO BP,KGHM,Orlen,PGE
CD Projekt,1.0,0.20344593445523051,0.26180003500587956,0.17339205232824106,0.20322374698918705
PKO BP,0.20344593445523051,1.0,0.4372922302390805,0.4402511546588224,0.33387466453472914
KGHM,0.26180003500587956,0.4372922302390805,1.0,0.4299044517267075,0.33964855081059103
Orlen,0.17339205232824106,0.4402511546588224,0.4299044517267075,1.0,0.45144149082341434
PGE,0.20322374698918705,0.33387466453472914,0.33964855081059103,0.45144149082341434,1.0
