Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Return,Cumulative_Return,MA20,MA50,MA200,Volatility_20,Running_Max,Drawdown
2020-01-01,34.459999084472656,34.459999084472656,34.459999084472656,34.459999084472656,27.709758758544922,0,PKO.WA,,,,,,,,
2020-01-02,34.900001525878906,35.70000076293945,34.70000076293945,35.470001220703125,28.52191734313965,3224053,PKO.WA,0.029309406937435556,1.0293094069374356,,,,,1.0293094069374356,0.0
2020-01-03,35.209999084472656,35.209999084472656,34.56999969482422,34.75,27.942951202392578,2330131,PKO.WA,-0.020298877810099314,1.0084155810572268,,,,,1.0293094069374356,-0.020298877810099203
2020-01-06,34.75,34.75,34.75,34.75,27.942951202392578,0,PKO.WA,0.0,1.0084155810572268,,,,,1.0293094069374356,-0.020298877810099203
2020-01-07,34.66999816894531,35.0,34.400001525878906,34.43000030517578,27.685636520385742,1969077,PKO.WA,-0.009208624311488278,0.9991294608214197,,,,,1.0293094069374356,-0.029320577381889423
2020-01-08,34.209999084472656,34.38999938964844,33.810001373291016,34.06999969482422,27.39615249633789,2463297,PKO.WA,-0.010456015311084532,0.9886825478813154,,,,,1.0293094069374356,-0.039470016286939025
2020-01-09,34.25,34.75,34.20000076293945,34.75,27.942951202392578,2161231,PKO.WA,0.019958917266414966,1.0084155810572268,,,,,1.0293094069374356,-0.020298877810099203
2020-01-10,34.810001373291016,34.88999938964844,34.25,34.7400016784668,27.934911727905273,1351336,PKO.WA,-0.00028772148296984934,1.0081254382307951,,,,,1.0293094069374356,-0.020580758869842897
2020-01-13,34.7400016784668,35.81999969482422,34.5099983215332,35.40999984741211,28.47366714477539,3445095,PKO.WA,0.019286071864544674,1.02756821788099,,,,,1.0293094069374356,-0.0016916089998888495
2020-01-14,35.650001525878906,35.779998779296875,35.15999984741211,35.439998626708984,28.49778938293457,4638712,PKO.WA,0.0008471838301651324,1.0284387570595703,,,,,1.0293094069374356,-0.0008458582735153541
2020-01-15,35.470001220703125,35.4900016784668,34.709999084472656,34.810001373291016,27.991199493408203,2816783,PKO.WA,-0.017776446891371478,1.0101567701136729,,,,,1.0293094069374356,-0.01860726881021002
2020-01-16,35.040000915527344,35.18000030517578,34.529998779296875,34.880001068115234,28.047489166259766,2719983,PKO.WA,0.0020109075571002055,1.0121881019965504,,,,,1.0293094069374356,-0.016633778750577255
2020-01-17,34.91999816894531,35.380001068115234,34.900001525878906,35.0,28.143980026245117,1613045,PKO.WA,0.0034403362445554198,1.015670369410157,,,,,1.0293094069374356,-0.013250668297941193
2020-01-20,35.119998931884766,35.22999954223633,34.959999084472656,35.04999923706055,28.184185028076172,1052681,PKO.WA,0.0014285496303012568,1.0171213049408858,,,,,1.0293094069374356,-0.011841047904938229
2020-01-21,34.9900016784668,35.38999938964844,34.83000183105469,34.97999954223633,28.127897262573242,1586381,PKO.WA,-0.0019971382695552764,1.0150899730580083,,,,,1.0293094069374356,-0.013814537964570994
2020-01-22,35.08000183105469,35.29999923706055,34.349998474121094,34.47999954223633,27.725841522216797,1193864,PKO.WA,-0.014293882405466585,1.000580396352149,,,,,1.0293094069374356,-0.027910956988886126
2020-01-23,34.369998931884766,35.779998779296875,34.31999969482422,35.2599983215332,28.35304832458496,2452635,PKO.WA,0.022621774641888193,1.0232153005895184,,,,,1.0293094069374356,-0.005920577726039933
2020-01-24,35.189998626708984,35.869998931884766,35.15999984741211,35.720001220703125,28.722944259643555,2064862,PKO.WA,0.013046027256586656,1.0365641952903657,,,,,1.0365641952903657,0.0
2020-01-27,35.220001220703125,35.560001373291016,34.459999084472656,34.459999084472656,27.709758758544922,2624193,PKO.WA,-0.03527441470243231,1.0000000000000002,,,,,1.0365641952903657,-0.03527441470243242
2020-01-28,34.68000030517578,35.2599983215332,34.59000015258789,34.900001525878906,28.063570022583008,2011179,PKO.WA,0.012768498348698865,1.012768498348699,34.89050006866455,,,,1.0365641952903657,-0.022956317659612813
2020-01-29,34.93000030517578,35.25,34.65999984741211,34.900001525878906,28.063570022583008,2967505,PKO.WA,0.0,1.012768498348699,34.91250019073486,,,0.25379296770910115,1.0365641952903657,-0.022956317659612813
2020-01-30,34.540000915527344,35.029998779296875,34.5099983215332,34.70000076293945,27.902748107910156,2123124,PKO.WA,-0.005730680635963603,1.0069646455264982,34.87400016784668,,,0.23095781518154967,1.0365641952903657,-0.028555442970491507
2020-01-31,34.86000061035156,34.970001220703125,33.790000915527344,34.209999084472656,27.508729934692383,4098405,PKO.WA,-0.01412108552430158,0.9927452116470705,34.84700012207031,,,0.22507579869823682,1.0365641952903657,-0.042273294642422465
2020-02-03,34.0,34.84000015258789,33.20000076293945,34.65999984741211,27.870580673217773,2974197,PKO.WA,0.013154071177502669,1.005803852822201,34.84250011444092,,,0.23038872118961365,1.0365641952903657,-0.029675289391553727
2020-02-04,35.0,36.20000076293945,34.65999984741211,36.0,28.948095321655273,5394922,PKO.WA,0.03866128558820359,1.0446895228218758,34.92100009918213,,,0.2651340263547162,1.0446895228218758,0.0
2020-02-05,36.099998474121094,36.47999954223633,35.52000045776367,35.65999984741211,28.67469596862793,3307866,PKO.WA,-0.009444448682996986,1.0348230062339199,35.00050010681152,,,0.2645088571565513,1.0446895228218758,-0.009444448682997097
2020-02-06,35.689998626708984,35.81999969482422,35.38999938964844,35.77000045776367,28.763147354125977,1758245,PKO.WA,0.0030847058559240192,1.0380151308210945,35.051500129699704,,,0.2563196315603844,1.0446895228218758,-0.0063888761732314725
2020-02-07,35.45000076293945,35.95000076293945,35.22999954223633,35.95000076293945,28.907886505126953,1557275,PKO.WA,0.005032158313453827,1.0432385872911467,35.11200008392334,,,0.2565034608830165,1.0446895228218758,-0.0013888676961264501
2020-02-10,35.83000183105469,35.93000030517578,35.290000915527344,35.290000915527344,28.37717628479004,796633,PKO.WA,-0.018358827076646378,1.0240859504673836,35.106000137329104,,,0.2573438174792391,1.0446895228218758,-0.019722196790907365
2020-02-11,35.310001373291016,35.70000076293945,34.689998626708984,35.16999816894531,28.280675888061523,1803614,PKO.WA,-0.0034004744536356712,1.020603572354492,35.09250011444092,,,0.2575900669010631,1.0446895228218758,-0.02305560641818616
2020-02-12,36.25,37.09000015258789,36.18000030517578,36.5,29.35015106201172,4990750,PKO.WA,0.0378163747596969,1.059199099527735,35.17700004577637,,,0.28188462265061126,1.059199099527735,0.0
2020-02-13,36.45000076293945,36.45000076293945,35.7400016784668,35.86000061035156,28.83551788330078,2094867,PKO.WA,-0.017534229853381822,1.0406268590561205,35.226000022888186,,,0.29075311659350805,1.059199099527735,-0.017534229853381933
2020-02-14,36.08000183105469,36.08000183105469,35.54999923706055,35.790000915527344,28.779232025146484,1638048,PKO.WA,-0.001952027150942448,1.038595527173243,35.26550006866455,,,0.29091688560399237,1.059199099527735,-0.019452029711579666
2020-02-17,35.88999938964844,35.91999816894531,35.470001220703125,35.54999923706055,28.586244583129883,1068756,PKO.WA,-0.006705830464582951,1.031630881646745,35.29050006866455,,,0.2922897329412211,1.059199099527735,-0.026027418162724802
2020-02-18,35.279998779296875,35.4900016784668,35.119998931884766,35.150001525878906,28.26460075378418,1292482,PKO.WA,-0.011251693945597774,1.0200232867016286,35.29900016784668,,,0.29532345639846197,1.059199099527735,-0.0369862595649616
2020-02-19,35.29999923706055,35.34000015258789,34.810001373291016,35.130001068115234,28.248516082763672,1651743,PKO.WA,-0.0005690030411220626,1.01944289034948,35.33150024414063,,,0.2902373009722017,1.059199099527735,-0.03753421731191142
2020-02-20,35.13999938964844,35.18000030517578,34.72999954223633,34.79999923706055,27.983158111572266,1892534,PKO.WA,-0.009393732451497216,1.0098665165879561,35.30850028991699,,,0.28083528266753927,1.059199099527735,-0.046575363368204115
2020-02-21,34.689998626708984,34.790000915527344,34.31999969482422,34.40999984741211,27.669553756713867,1665437,PKO.WA,-0.01120687925858066,0.9985490644692715,35.243000221252444,,,0.2784951340870008,1.059199099527735,-0.05726027815309276
2020-02-24,33.900001525878906,33.93000030517578,32.779998779296875,33.0,26.535755157470703,2986156,PKO.WA,-0.04097645607859979,0.9576320625867195,35.17000026702881,,,0.2881739979123936,1.059199099527735,-0.09589041095890383
2020-02-25,33.2400016784668,33.2400016784668,31.8700008392334,32.04999923706055,25.7718448638916,3571817,PKO.WA,-0.028787901907256108,0.9300638447057297,35.02750015258789,,,0.2975175232008726,1.059199099527735,-0.12191782912162863
2020-02-26,32.099998474121094,32.779998779296875,31.25,32.279998779296875,25.956790924072266,3173867,PKO.WA,0.00717627293951284,0.9367382367065107,34.89650001525879,,,0.29990504786997074,1.059199099527735,-0.11561647180008539
2020-02-27,32.029998779296875,32.79999923706055,31.700000762939453,31.959999084472656,25.699474334716797,2555323,PKO.WA,-0.009913249904750732,0.9274521164707035,34.75949993133545,,,0.30064254630937903,1.059199099527735,-0.12438358672677641
2020-02-28,31.600000381469727,32.060001373291016,30.59000015258789,31.290000915527344,25.16071891784668,5575049,PKO.WA,-0.020963647939239882,0.9080093368205088,34.61350002288818,,,0.3046716570885584,1.059199099527735,-0.1427397009444562
2020-03-02,32.33000183105469,32.54999923706055,31.31999969482422,32.349998474121094,26.013076782226562,3913456,PKO.WA,0.033876558887147246,0.9387695685893882,34.49799995422363,,,0.32835508085351706,1.059199099527735,-0.11369867194188765
2020-03-03,32.650001525878906,33.779998779296875,32.54999923706055,33.099998474121094,26.61616325378418,4036412,PKO.WA,0.02318392690497273,0.9605339336481774,34.35299987792969,,,0.305993899104373,1.059199099527735,-0.09315072673640812
2020-03-04,33.0,33.36000061035156,32.5099983215332,32.560001373291016,26.181943893432617,2754026,PKO.WA,-0.016314112559620453,0.944863674937306,34.19799995422363,,,0.30857152517238084,1.059199099527735,-0.10794516785504027
