Spółka,Symbol,Stopa zwrotu kup i trzymaj,Stopa zwrotu strategii MA20/MA50,Różnica
CD Projekt,CDR.WA,-0.1849731554498829,-0.5288802784566685,-0.3439071230067856
PKO BP,PKO.WA,1.8522926154056578,0.7978977274126551,-1.0543948879930027
KGHM,KGH.WA,2.614249901539449,3.9580837387664216,1.3438338372269727
Orlen,PKN.WA,0.6662782627418768,0.25716371376726666,-0.4091145489746102
PGE,PGE.WA,0.28831659111752717,1.2451010881960216,0.9567844970784944
