,CD Projekt,PKO BP,KGHM,Orlen,PGE
CD Projekt,1.0,0.20345011183542355,0.2618931259855536,0.1722394712441936,0.2039284761677531
PKO BP,0.20345011183542355,1.0,0.4383311755331249,0.43767039687269044,0.3337399747909481
KGHM,0.2618931259855536,0.4383311755331249,1.0,0.42246899593135917,0.3430405920684232
Orlen,0.1722394712441936,0.43767039687269044,0.42246899593135917,1.0,0.4477207366118052
PGE,0.2039284761677531,0.3337399747909481,0.3430405920684232,0.4477207366118052,1.0
