Spółka,Symbol,Liczba sesji,Cena początkowa,Cena końcowa,Stopa zwrotu całkowita,Stopa zwrotu roczna,Zmienność roczna,Sharpe bez stopy wolnej od ryzyka,Maksymalne obsunięcie
CD Projekt,CDR.WA,1630,279.5,213.3000030517578,-0.23685150965381796,-0.04092799335721653,0.455978937514974,-0.08975851731281445,-0.8309678787911701
PKO BP,PKO.WA,1630,34.459999084472656,102.87999725341797,1.985490423294133,0.18423531319273434,0.3600173410669245,0.5117401085368452,-0.5688755091912383
KGHM,KGH.WA,1630,95.58000183105469,321.8500061035156,2.3673362621650695,0.20647725242221737,0.4499126769279191,0.45892739416030565,-0.6236818584795751
Orlen,PKN.WA,1630,85.81999969482422,122.54000091552734,0.4278723065868033,0.0566110944869187,0.3539754200424175,0.1599294506950084,-0.5660073358348794
PGE,PGE.WA,1630,7.960000038146973,9.5600004196167,0.20100507208567353,0.028721295185833773,0.4787102751856778,0.05999723982254949,-0.6606581010574062
